UserID,total_events,total_sessions,total_purchases,total_spend,unique_events,first_activity,last_activity,active_days,purchase_frequency,inactivity_days,churn_label,activity_level,segment
1,82,10,8,1996.1287798725184,7,2024-01-01 23:09:51.956825,2024-07-22 20:10:14.181302,202,0.0396,1,Active,High Activity,High Activity-Active
2,73,10,13,2676.55372035639,7,2024-01-01 14:07:40.491141,2024-07-22 08:54:54.594265,202,0.0644,2,Active,Low Activity,Low Activity - Retained (Quiet Loyal)
3,64,10,6,1512.699392390377,7,2024-01-05 15:44:25.330449,2024-07-23 17:38:50.228803,200,0.03,0,Active,Low Activity,Low Activity-Active
4,83,10,9,2322.826358172772,7,2024-01-01 02:11:06.298369,2024-07-23 19:57:57.196352,204,0.0441,0,Active,High Activity,High Activity-Active
5,84,10,7,2189.316345350829,7,2024-01-01 14:03:07.709158,2024-07-24 10:05:47.264077,204,0.0343,0,Active,High Activity,High Activity-Active
6,83,10,16,3043.4753890937427,7,2024-01-04 18:52:51.924379,2024-07-23 14:58:42.224360,200,0.08,0,Active,High Activity,High Activity-Active
7,76,10,12,3130.578790987606,7,2024-01-07 11:49:12.672559,2024-07-17 15:42:50.274862,192,0.0625,6,Active,High Activity,High Activity-Active
8,70,10,12,2893.0248450917334,7,2024-01-04 15:16:04.880699,2024-07-22 06:07:53.771228,199,0.0603,2,Active,Low Activity,Low Activity - Retained (Quiet Loyal)
9,82,10,16,4195.110956756831,7,2024-01-01 21:26:04.358965,2024-07-19 17:32:15.783554,199,0.0804,4,Active,High Activity,High Activity-Active
10,81,10,18,3567.334589930528,7,2024-01-01 08:01:45.649799,2024-07-23 22:50:17.279206,204,0.0882,0,Active,High Activity,High Activity-Active
11,85,10,9,1217.2547704988635,7,2024-01-01 12:27:09.150148,2024-07-22 19:16:05.465940,203,0.0443,1,Active,High Activity,High Activity-Active
12,80,10,12,2029.6219405653983,7,2024-01-01 04:26:13.165170,2024-07-20 08:20:02.248103,201,0.0597,4,Active,High Activity,High Activity-Active
13,67,10,12,3516.3624476230834,7,2024-01-01 22:20:43.160267,2024-07-23 17:10:54.665630,203,0.0591,0,Active,Low Activity,Low Activity - Retained (Quiet Loyal)
14,87,10,8,2241.0756565973484,7,2024-01-01 09:15:35.284452,2024-07-22 11:19:47.262306,203,0.0394,1,Active,High Activity,High Activity-Active
15,71,10,12,3195.0343300609743,7,2024-01-02 01:20:08.223288,2024-07-20 14:51:55.684294,200,0.06,3,Active,Low Activity,Low Activity - Retained (Quiet Loyal)
16,77,10,9,2635.4085247100493,7,2024-01-03 21:33:44.153953,2024-07-24 03:34:43.047275,202,0.0446,0,Active,High Activity,High Activity-Active
17,75,10,13,2644.160338477744,7,2024-01-04 13:03:00.131178,2024-07-23 07:00:08.055091,200,0.065,1,Active,High Activity,High Activity-Active
18,79,10,10,2499.0719362296104,7,2024-01-05 03:55:26.598061,2024-07-23 14:56:03.187995,200,0.05,0,Active,High Activity,High Activity-Active
19,64,10,11,3318.0476245181085,7,2024-01-03 14:43:41.234217,2024-07-24 09:24:35.846976,202,0.0545,0,Active,Low Activity,Low Activity - Retained (Quiet Loyal)
20,76,10,8,2234.2315786363256,7,2024-01-03 03:15:58.218530,2024-07-24 10:12:14.880284,203,0.0394,0,Active,High Activity,High Activity-Active
21,78,10,5,1770.130927796016,7,2024-01-02 12:44:21.725156,2024-07-20 11:30:12.689665,199,0.0251,3,Active,High Activity,High Activity-Active
22,72,10,5,1221.8461356106363,7,2024-01-01 03:11:20.920906,2024-07-17 04:36:04.839997,198,0.0253,7,Potential Churn,Low Activity,Low Activity-Potential Churn
23,75,10,10,2870.4099007280715,7,2024-01-07 23:10:57.364587,2024-07-23 05:41:26.601333,197,0.0508,1,Active,High Activity,High Activity-Active
24,74,10,11,2957.0328020279644,7,2024-01-03 03:39:28.847989,2024-07-24 09:53:35.115464,203,0.0542,0,Active,Low Activity,Low Activity - Retained (Quiet Loyal)
25,71,10,14,2740.1358364350417,7,2024-01-01 10:23:14.154535,2024-07-23 21:08:31.555708,204,0.0686,0,Active,Low Activity,Low Activity - Retained (Quiet Loyal)
26,76,10,11,3232.1872787540915,7,2024-01-01 03:48:22.917866,2024-07-20 07:44:56.311523,201,0.0547,4,Active,High Activity,High Activity-Active
27,70,10,12,2497.383608160647,7,2024-01-03 03:41:38.800569,2024-07-21 01:09:35.276325,199,0.0603,3,Active,Low Activity,Low Activity - Retained (Quiet Loyal)
28,79,10,17,4582.11624792686,7,2024-01-02 07:57:59.580514,2024-07-24 05:49:34.519466,203,0.0837,0,Active,High Activity,High Activity-Active
29,77,10,12,3389.809652740321,7,2024-01-01 20:00:49.192394,2024-07-22 19:46:37.617448,202,0.0594,1,Active,High Activity,High Activity-Active
30,80,10,9,2004.6548480822576,7,2024-01-02 13:49:37.906057,2024-07-19 05:45:25.041624,198,0.0455,5,Active,High Activity,High Activity-Active
31,73,10,7,2199.290711134074,7,2024-01-01 16:57:10.527152,2024-07-23 00:45:37.752106,203,0.0345,1,Active,Low Activity,Low Activity-Active
